time(hour)	isotherm(m)
0.00000000 0.01677
0.08333333 0.05001
0.16666667 0.08253
0.25000000 0.11406
0.33333333 0.14436
0.41666667 0.17317
0.50000000 0.20028
0.58333333 0.22547
0.66666667 0.24856
0.75000000 0.26935
0.83333333 0.28772
0.91666667 0.30351
1.00000000 0.31680
1.08333333 0.32701
1.16666667 0.33439
1.25000000 0.33942
1.33333333 0.34107
1.41666667 0.33936
1.50000000 0.33483
1.58333333 0.32806
1.66666667 0.31911
1.75000000 0.30825
1.83333333 0.29563
1.91666667 0.28140
2.00000000 0.26562
2.08333333 0.24778
2.16666667 0.22856
2.25000000 0.20766
2.33333333 0.18477
2.41666667 0.16054
2.50000000 0.13578
2.58333333 0.11071
2.66666667 0.08494
2.75000000 0.05887
2.83333333 0.03272
2.91666667 0.00653
3.00000000 -0.01948
3.08333333 -0.04509
3.16666667 -0.07008
3.25000000 -0.09427
3.33333333 -0.11812
3.41666667 -0.14145
3.50000000 -0.16426
3.58333333 -0.18637
3.66666667 -0.20672
3.75000000 -0.22517
3.83333333 -0.24240
3.91666667 -0.25829
4.00000000 -0.27243
4.08333333 -0.28472
4.16666667 -0.29451
4.25000000 -0.30177
4.33333333 -0.30644
4.41666667 -0.30851
4.50000000 -0.30800
4.58333333 -0.30492
4.66666667 -0.29973
4.75000000 -0.29249
4.83333333 -0.28248
4.91666667 -0.26924
5.00000000 -0.25334
5.08333333 -0.23547
5.16666667 -0.21579
5.25000000 -0.19450
5.33333333 -0.17102
5.41666667 -0.14568
5.50000000 -0.11936
5.58333333 -0.09130
5.66666667 -0.06274
5.75000000 -0.03391
5.83333333 -0.00420
5.91666667 0.02528
6.00000000 0.05422
6.08333333 0.08158
6.16666667 0.10719
6.25000000 0.13168
6.33333333 0.15473
6.41666667 0.17629
6.50000000 0.19628
6.58333333 0.21446
6.66666667 0.23069
6.75000000 0.24473
6.83333333 0.25560
6.91666667 0.26275
7.00000000 0.26664
7.08333333 0.26785
7.16666667 0.26639
7.25000000 0.26230
7.33333333 0.25606
7.41666667 0.24774
7.50000000 0.23743
7.58333333 0.22466
7.66666667 0.20930
7.75000000 0.19233
7.83333333 0.17417
7.91666667 0.15473
8.00000000 0.13391
8.08333333 0.11107
8.16666667 0.08668
8.25000000 0.06082
8.33333333 0.03372
8.41666667 0.00658
8.50000000 -0.02054
8.58333333 -0.04741
8.66666667 -0.07365
8.75000000 -0.09999
8.83333333 -0.12624
8.91666667 -0.15174
9.00000000 -0.17630
9.08333333 -0.19916
9.16666667 -0.22015
9.25000000 -0.23971
9.33333333 -0.25709
9.41666667 -0.27158
9.50000000 -0.28367
9.58333333 -0.29388
9.66666667 -0.30213
9.75000000 -0.30779
9.83333333 -0.31084
9.91666667 -0.31240
10.00000000 -0.31248
10.08333333 -0.31007
10.16666667 -0.30523
10.25000000 -0.29776
10.33333333 -0.28776
10.41666667 -0.27635
10.50000000 -0.26274
10.58333333 -0.24616
10.66666667 -0.22767
10.75000000 -0.20746
10.83333333 -0.18570
10.91666667 -0.16181
11.00000000 -0.13678
11.08333333 -0.11163
11.16666667 -0.08499
11.25000000 -0.05710
11.33333333 -0.02922
11.41666667 -0.00159
11.50000000 0.02581
11.58333333 0.05274
11.66666667 0.07898
11.75000000 0.10433
11.83333333 0.12840
11.91666667 0.15102
12.00000000 0.17159
12.08333333 0.18994
12.16666667 0.20662
12.25000000 0.22219
12.33333333 0.23644
12.41666667 0.24858
12.50000000 0.25855
12.58333333 0.26626
12.66666667 0.27169
12.75000000 0.27480
12.83333333 0.27559
12.91666667 0.27408
13.00000000 0.27029
13.08333333 0.26429
13.16666667 0.25613
13.25000000 0.24575
13.33333333 0.23265
13.41666667 0.21714
13.50000000 0.19996
13.58333333 0.18203
13.66666667 0.16351
13.75000000 0.14379
13.83333333 0.12329
13.91666667 0.10270
14.00000000 0.08197
14.08333333 0.06075
14.16666667 0.03921
14.25000000 0.01754
14.33333333 -0.00407
14.41666667 -0.02573
14.50000000 -0.04774
14.58333333 -0.06963
14.66666667 -0.09075
14.75000000 -0.11091
14.83333333 -0.12996
14.91666667 -0.14776
15.00000000 -0.16416
15.08333333 -0.17980
15.16666667 -0.19447
15.25000000 -0.20826
15.33333333 -0.22027
15.41666667 -0.22947
15.50000000 -0.23753
15.58333333 -0.24441
15.66666667 -0.24832
15.75000000 -0.24926
15.83333333 -0.24752
15.91666667 -0.24313
16.00000000 -0.23676
16.08333333 -0.22848
16.16666667 -0.21771
16.25000000 -0.20458
16.33333333 -0.18985
16.41666667 -0.17368
16.50000000 -0.15585
16.58333333 -0.13651
16.66666667 -0.11621
16.75000000 -0.09512
16.83333333 -0.07401
16.91666667 -0.05305
17.00000000 -0.03183
17.08333333 -0.01054
17.16666667 0.01064
17.25000000 0.03154
17.33333333 0.05198
17.41666667 0.07181
17.50000000 0.09085
17.58333333 0.10931
17.66666667 0.12705
17.75000000 0.14321
17.83333333 0.15803
17.91666667 0.17174
18.00000000 0.18412
18.08333333 0.19508
18.16666667 0.20488
18.25000000 0.21346
18.33333333 0.22017
18.41666667 0.22498
18.50000000 0.22788
18.58333333 0.22922
18.66666667 0.22900
18.75000000 0.22738
18.83333333 0.22437
18.91666667 0.21952
19.00000000 0.21357
19.08333333 0.20590
19.16666667 0.19588
19.25000000 0.18433
19.33333333 0.17112
19.41666667 0.15661
19.50000000 0.14115
19.58333333 0.12443
19.66666667 0.10682
19.75000000 0.08870
19.83333333 0.07070
19.91666667 0.05297
20.00000000 0.03564
20.08333333 0.01886
20.16666667 0.00250
20.25000000 -0.01330
20.33333333 -0.02884
20.41666667 -0.04393
20.50000000 -0.05851
20.58333333 -0.07298
20.66666667 -0.08713
20.75000000 -0.10043
20.83333333 -0.11277
20.91666667 -0.12406
21.00000000 -0.13421
21.08333333 -0.14315
21.16666667 -0.15081
21.25000000 -0.15717
21.33333333 -0.16219
21.41666667 -0.16578
21.50000000 -0.16793
21.58333333 -0.16867
21.66666667 -0.16799
21.75000000 -0.16591
21.83333333 -0.16247
21.91666667 -0.15771
