time(hour)	isotherm(m)
0.00000000 0.00441
0.08333333 0.01315
0.16666667 0.02171
0.25000000 0.02990
0.33333333 0.03756
0.41666667 0.04436
0.50000000 0.04941
0.58333333 0.05277
0.66666667 0.05525
0.75000000 0.05675
0.83333333 0.05708
0.91666667 0.05645
1.00000000 0.05504
1.08333333 0.05300
1.16666667 0.05045
1.25000000 0.04740
1.33333333 0.04402
1.41666667 0.04033
1.50000000 0.03629
1.58333333 0.03187
1.66666667 0.02707
1.75000000 0.02192
1.83333333 0.01651
1.91666667 0.01093
2.00000000 0.00525
2.08333333 -0.00047
2.16666667 -0.00618
2.25000000 -0.01174
2.33333333 -0.01716
2.41666667 -0.02260
2.50000000 -0.02798
2.58333333 -0.03315
2.66666667 -0.03803
2.75000000 -0.04255
2.83333333 -0.04661
2.91666667 -0.05006
3.00000000 -0.05299
3.08333333 -0.05544
3.16666667 -0.05734
3.25000000 -0.05864
3.33333333 -0.05934
3.41666667 -0.05945
3.50000000 -0.05897
3.58333333 -0.05791
3.66666667 -0.05629
3.75000000 -0.05413
3.83333333 -0.05154
3.91666667 -0.04863
4.00000000 -0.04538
4.08333333 -0.04183
4.16666667 -0.03800
4.25000000 -0.03393
4.33333333 -0.02962
4.41666667 -0.02506
4.50000000 -0.02029
4.58333333 -0.01530
4.66666667 -0.01013
4.75000000 -0.00488
4.83333333 0.00027
4.91666667 0.00528
5.00000000 0.01020
5.08333333 0.01509
5.16666667 0.01986
5.25000000 0.02456
5.33333333 0.02923
5.41666667 0.03390
5.50000000 0.03856
5.58333333 0.04306
5.66666667 0.04733
5.75000000 0.05125
5.83333333 0.05506
5.91666667 0.05865
6.00000000 0.06168
6.08333333 0.06422
6.16666667 0.06630
6.25000000 0.06775
6.33333333 0.06871
6.41666667 0.06924
6.50000000 0.06918
6.58333333 0.06846
6.66666667 0.06717
6.75000000 0.06549
6.83333333 0.06353
6.91666667 0.06130
7.00000000 0.05873
7.08333333 0.05550
7.16666667 0.05170
7.25000000 0.04784
7.33333333 0.04379
7.41666667 0.03929
7.50000000 0.03408
7.58333333 0.02847
7.66666667 0.02275
7.75000000 0.01682
7.83333333 0.01065
7.91666667 0.00366
8.00000000 -0.00405
8.08333333 -0.01190
8.16666667 -0.01986
8.25000000 -0.02784
8.33333333 -0.03570
8.41666667 -0.04320
8.50000000 -0.05026
8.58333333 -0.05703
