time(hour)	isotherm(m)
0.00000000 0.00379
0.08333333 0.01141
0.16666667 0.01919
0.25000000 0.02695
0.33333333 0.03444
0.41666667 0.04137
0.50000000 0.04725
0.58333333 0.05221
0.66666667 0.05657
0.75000000 0.06013
0.83333333 0.06275
0.91666667 0.06461
1.00000000 0.06578
1.08333333 0.06626
1.16666667 0.06610
1.25000000 0.06535
1.33333333 0.06417
1.41666667 0.06257
1.50000000 0.06048
1.58333333 0.05777
1.66666667 0.05435
1.75000000 0.05023
1.83333333 0.04553
1.91666667 0.04034
2.00000000 0.03472
2.08333333 0.02872
2.16666667 0.02246
2.25000000 0.01607
2.33333333 0.00946
2.41666667 0.00247
2.50000000 -0.00477
2.58333333 -0.01220
2.66666667 -0.01968
2.75000000 -0.02692
2.83333333 -0.03376
2.91666667 -0.03994
3.00000000 -0.04544
3.08333333 -0.05041
3.16666667 -0.05475
3.25000000 -0.05834
3.33333333 -0.06124
3.41666667 -0.06344
3.50000000 -0.06494
3.58333333 -0.06573
3.66666667 -0.06582
3.75000000 -0.06522
3.83333333 -0.06408
3.91666667 -0.06256
4.00000000 -0.06066
4.08333333 -0.05841
4.16666667 -0.05583
4.25000000 -0.05290
4.33333333 -0.04948
4.41666667 -0.04554
4.50000000 -0.04118
4.58333333 -0.03642
4.66666667 -0.03131
4.75000000 -0.02598
4.83333333 -0.02056
4.91666667 -0.01511
5.00000000 -0.00966
5.08333333 -0.00413
5.16666667 0.00139
5.25000000 0.00696
5.33333333 0.01256
5.41666667 0.01810
5.50000000 0.02355
5.58333333 0.02882
5.66666667 0.03394
5.75000000 0.03875
5.83333333 0.04340
5.91666667 0.04782
6.00000000 0.05171
6.08333333 0.05507
6.16666667 0.05798
6.25000000 0.06044
6.33333333 0.06240
6.41666667 0.06379
6.50000000 0.06464
6.58333333 0.06492
6.66666667 0.06464
6.75000000 0.06380
6.83333333 0.06234
6.91666667 0.06013
7.00000000 0.05713
7.08333333 0.05340
7.16666667 0.04923
