time(hour)	isotherm(m)
0.00000000 14.35258
0.08333333 14.40108
0.16666667 14.40108
0.25000000 14.40108
0.33333333 14.40110
0.41666667 14.42836
0.50000000 14.45273
0.58333333 14.48034
0.66666667 14.48481
0.75000000 14.48481
0.83333333 14.50972
0.91666667 14.55569
1.00000000 14.53331
1.08333333 14.51276
1.16666667 14.48723
1.25000000 14.45875
1.33333333 14.42998
1.41666667 14.42915
1.50000000 14.42998
1.58333333 14.42998
1.66666667 14.43086
1.75000000 14.46048
1.83333333 14.43279
1.91666667 14.40140
2.00000000 14.37029
2.08333333 14.37029
2.16666667 14.37029
2.25000000 14.36941
2.33333333 14.36847
2.41666667 14.43384
2.50000000 14.46230
2.58333333 14.46230
2.66666667 14.51276
2.75000000 14.53690
2.83333333 14.55977
2.91666667 14.55977
3.00000000 14.53690
3.08333333 14.51597
3.16666667 14.49538
3.25000000 14.52297
3.33333333 14.54470
3.41666667 14.58621
3.50000000 14.56407
3.58333333 14.51597
3.66666667 14.51276
3.75000000 14.48723
3.83333333 14.46230
3.91666667 14.40131
4.00000000 14.32865
4.08333333 14.26474
4.16666667 14.15112
4.25000000 14.15112
4.33333333 14.15112
4.41666667 14.12771
4.50000000 14.14379
4.58333333 14.15112
4.66666667 14.15112
4.75000000 14.15112
4.83333333 14.15112
4.91666667 14.14379
5.00000000 14.14379
5.08333333 14.12769
5.16666667 14.13736
5.25000000 14.13736
5.33333333 14.13736
5.41666667 14.15825
5.50000000 14.12787
5.58333333 14.15825
5.66666667 14.15825
5.75000000 14.14894
5.83333333 14.18294
5.91666667 14.21937
6.00000000 14.26525
6.08333333 14.30680
6.16666667 14.40113
6.25000000 14.42762
6.33333333 14.45273
6.41666667 14.47634
6.50000000 14.42762
6.58333333 14.36141
6.66666667 14.33097
6.75000000 14.30221
6.83333333 14.24962
6.91666667 14.27990
7.00000000 14.31042
7.08333333 14.24130
7.16666667 14.17766
7.25000000 14.23730
7.33333333 14.40117
7.41666667 14.50149
7.50000000 14.54457
7.58333333 14.57693
7.66666667 14.57693
7.75000000 14.57693
7.83333333 14.57259
7.91666667 14.57945
8.00000000 14.59740
8.08333333 14.57556
8.16666667 14.57184
8.25000000 14.57556
8.33333333 14.57556
8.41666667 14.59322
8.50000000 14.57945
8.58333333 14.56087
8.66666667 14.52063
8.75000000 14.52356
8.83333333 14.52664
8.91666667 14.56850
9.00000000 14.57259
9.08333333 14.56850
9.16666667 14.56459
9.25000000 14.56459
9.33333333 14.59322
9.41666667 14.58921
9.50000000 14.60176
9.58333333 14.58536
9.66666667 14.56485
9.75000000 14.56485
9.83333333 14.53204
9.91666667 14.51516
10.00000000 14.40108
10.08333333 14.34063
10.16666667 14.31287
10.25000000 14.28921
10.33333333 14.31287
10.41666667 14.33893
10.50000000 14.31042
10.58333333 14.25761
10.66666667 14.23309
10.75000000 14.21004
10.83333333 14.20512
10.91666667 14.22866
11.00000000 14.24962
11.08333333 14.24962
11.16666667 14.22399
11.25000000 14.19449
11.33333333 14.18872
11.41666667 14.21383
11.50000000 14.24529
11.58333333 14.24069
11.66666667 14.23582
11.75000000 14.22517
11.83333333 14.23952
11.91666667 14.27070
12.00000000 14.26525
12.08333333 14.25938
12.16666667 14.21937
12.25000000 14.25938
12.33333333 14.25938
12.41666667 14.22661
12.50000000 14.21304
12.58333333 14.22517
12.66666667 14.23582
12.75000000 14.25568
12.83333333 14.32067
12.91666667 14.36141
13.00000000 14.42385
13.08333333 14.44571
13.16666667 14.42385
13.25000000 14.40102
13.33333333 14.36141
13.41666667 14.32617
13.50000000 14.36529
13.58333333 14.36529
13.66666667 14.40110
13.75000000 14.40110
13.83333333 14.32865
13.91666667 14.29233
14.00000000 14.29233
14.08333333 14.36408
14.16666667 14.29584
14.25000000 14.29584
14.33333333 14.26474
14.41666667 14.23582
14.50000000 14.26474
14.58333333 14.26033
14.66666667 14.26033
14.75000000 14.26033
14.83333333 14.20830
14.91666667 14.13515
15.00000000 14.11316
15.08333333 14.11316
15.16666667 14.13515
15.25000000 14.17616
15.33333333 14.20830
15.41666667 14.24069
15.50000000 14.24529
15.58333333 14.24962
15.66666667 14.24962
15.75000000 14.25761
15.83333333 14.23309
15.91666667 14.21004
16.00000000 14.21004
16.08333333 14.21004
16.16666667 14.22866
16.25000000 14.25373
16.33333333 14.27990
16.41666667 14.27990
16.50000000 14.25373
16.58333333 14.22399
16.66666667 14.27643
16.75000000 14.30221
16.83333333 14.33315
16.91666667 14.33519
17.00000000 14.27643
17.08333333 14.24962
17.16666667 14.25373
17.25000000 14.28317
17.33333333 14.28627
17.41666667 14.28921
17.50000000 14.23730
17.58333333 14.23730
17.66666667 14.30784
17.75000000 14.36847
17.83333333 14.45142
17.91666667 14.45142
18.00000000 14.40110
18.08333333 14.33097
18.16666667 14.29584
18.25000000 14.32865
18.33333333 14.36279
18.41666667 14.40108
18.50000000 14.36408
18.58333333 14.29233
18.66666667 14.25568
18.75000000 14.18961
18.83333333 14.12769
18.91666667 14.16208
19.00000000 14.14379
19.08333333 14.15112
19.16666667 14.15810
19.25000000 14.14219
19.33333333 14.13515
19.41666667 14.18262
19.50000000 14.21383
19.58333333 14.30511
19.66666667 14.36847
19.75000000 14.36847
19.83333333 14.37029
19.91666667 14.34225
20.00000000 14.34063
20.08333333 14.28627
20.16666667 14.21471
20.25000000 14.11598
20.33333333 14.07312
20.41666667 14.06638
20.50000000 14.06638
20.58333333 14.08217
20.66666667 14.06638
20.75000000 14.07312
20.83333333 14.07312
20.91666667 14.08217
21.00000000 14.08872
21.08333333 14.11104
21.16666667 14.11104
21.25000000 14.09500
21.33333333 14.07959
21.41666667 14.06460
21.50000000 14.05687
21.58333333 14.06317
21.66666667 14.06317
21.75000000 14.07714
21.83333333 14.07099
21.91666667 14.08581
22.00000000 14.08581
22.08333333 14.11687
22.16666667 14.13352
22.25000000 14.16856
22.33333333 14.16856
22.41666667 14.20688
22.50000000 14.20246
22.58333333 14.19297
22.66666667 14.21471
22.75000000 14.21471
22.83333333 14.24130
22.91666667 14.24130
23.00000000 14.26479
23.08333333 14.28627
23.16666667 14.28317
23.25000000 14.27990
23.33333333 14.27643
23.41666667 14.30511
23.50000000 14.27643
23.58333333 14.22399
23.66666667 14.22399
23.75000000 14.22866
23.83333333 14.22866
23.91666667 14.25373
24.00000000 14.25373
24.08333333 14.23309
24.16666667 14.23309
24.25000000 14.19297
24.33333333 14.19297
24.41666667 14.17244
24.50000000 14.19297
24.58333333 14.19782
24.66666667 14.19782
24.75000000 14.22340
24.83333333 14.22340
24.91666667 14.22340
25.00000000 14.22340
25.08333333 14.27128
25.16666667 14.27128
25.25000000 14.26479
25.33333333 14.40110
25.41666667 14.42691
25.50000000 14.31042
25.58333333 14.20512
25.66666667 14.17096
25.75000000 14.14887
25.83333333 14.12765
25.91666667 14.09595
26.00000000 14.10767
26.08333333 14.10767
26.16666667 14.10029
26.25000000 14.12059
26.33333333 14.14219
26.41666667 14.17096
26.50000000 14.14887
26.58333333 14.18872
26.66666667 14.26887
26.75000000 14.30221
26.83333333 14.40108
26.91666667 14.33893
27.00000000 14.31042
27.08333333 14.31042
27.16666667 14.33519
27.25000000 14.33097
27.33333333 14.30221
27.41666667 14.30221
27.50000000 14.24529
27.58333333 14.33097
27.66666667 14.26887
27.75000000 14.21383
27.83333333 14.18872
27.91666667 14.18872
28.00000000 14.21905
28.08333333 14.24529
28.16666667 14.24962
28.25000000 14.25373
28.33333333 14.26129
28.41666667 14.26129
28.50000000 14.26129
28.58333333 14.23730
28.66666667 14.26479
28.75000000 14.23730
28.83333333 14.21471
28.91666667 14.21916
29.00000000 14.17766
29.08333333 14.17766
29.16666667 14.17766
29.25000000 14.16349
29.33333333 14.18264
29.41666667 14.20246
29.50000000 14.22340
29.58333333 14.22340
29.66666667 14.22340
29.75000000 14.22340
29.83333333 14.24511
29.91666667 14.26811
30.00000000 14.24130
30.08333333 14.24130
30.16666667 14.24130
30.25000000 14.26479
30.33333333 14.31287
30.41666667 14.37112
30.50000000 14.40120
30.58333333 14.37112
30.66666667 14.31737
30.75000000 14.31737
30.83333333 14.31737
30.91666667 14.31737
31.00000000 14.31945
31.08333333 14.29465
31.16666667 14.29718
31.25000000 14.29718
31.33333333 14.29465
31.41666667 14.29200
31.50000000 14.26479
31.58333333 14.26479
31.66666667 14.28921
31.75000000 14.31287
31.83333333 14.34063
31.91666667 14.37029
32.00000000 14.34063
32.08333333 14.28627
32.16666667 14.23309
32.25000000 14.23309
32.33333333 14.25373
32.41666667 14.27643
32.50000000 14.27643
32.58333333 14.33519
32.66666667 14.33315
32.75000000 14.30221
32.83333333 14.21905
32.91666667 14.19449
33.00000000 14.17096
33.08333333 14.19449
33.16666667 14.24529
33.25000000 14.30221
33.33333333 14.40102
33.41666667 14.44784
33.50000000 14.51261
33.58333333 14.53204
33.66666667 14.56827
33.75000000 14.59782
33.83333333 14.61752
33.91666667 14.61752
34.00000000 14.58921
34.08333333 14.55390
34.16666667 14.51516
34.25000000 14.47271
34.33333333 14.42624
34.41666667 14.40108
34.50000000 14.36847
34.58333333 14.36941
34.66666667 14.36941
34.75000000 14.33893
34.83333333 14.40105
34.91666667 14.40105
35.00000000 14.33711
35.08333333 14.33711
35.16666667 14.36847
35.25000000 14.40105
35.33333333 14.45017
35.41666667 14.47271
35.50000000 14.49230
35.58333333 14.49444
35.66666667 14.51516
35.75000000 14.49903
35.83333333 14.47829
35.91666667 14.48034
36.00000000 14.45557
36.08333333 14.45557
36.16666667 14.45711
36.25000000 14.48481
36.33333333 14.48723
36.41666667 14.46048
36.50000000 14.45875
36.58333333 14.43086
36.66666667 14.43180
36.75000000 14.40131
36.83333333 14.31762
36.91666667 14.27567
37.00000000 14.23335
37.08333333 14.23335
37.16666667 14.23952
37.25000000 14.28032
37.33333333 14.31762
37.41666667 14.31762
37.50000000 14.27070
37.58333333 14.19911
37.66666667 14.17502
37.75000000 14.18260
37.83333333 14.14612
37.91666667 14.14612
38.00000000 14.15440
38.08333333 14.14612
38.16666667 14.12769
