time(hour)	isotherm(m)
0.00000000 19.25742
0.08333333 19.25742
0.16666667 19.35000
0.25000000 19.25742
0.33333333 19.25742
0.41666667 19.18793
0.50000000 19.25578
0.58333333 19.20032
0.66666667 19.20032
0.75000000 19.20032
0.83333333 19.20032
0.91666667 21.30000
1.00000000 19.20032
1.08333333 19.20032
1.16666667 19.20032
1.25000000 21.30000
1.33333333 19.20032
1.41666667 21.30000
1.50000000 21.30000
1.58333333 19.20032
1.66666667 19.25578
1.75000000 19.25578
1.83333333 19.20032
1.91666667 19.20032
2.00000000 19.20032
2.08333333 21.30000
2.16666667 19.31008
2.25000000 19.31008
2.33333333 20.30000
2.41666667 20.30000
2.50000000 20.30000
2.58333333 21.30000
2.66666667 21.30000
2.75000000 21.30000
2.83333333 21.30000
2.91666667 21.30000
3.00000000 20.30000
3.08333333 19.25578
3.16666667 20.30000
3.25000000 20.30000
3.33333333 19.31008
3.41666667 21.30000
3.50000000 19.20032
3.58333333 19.20032
3.66666667 19.20032
3.75000000 19.20032
3.83333333 19.20032
3.91666667 19.20032
4.00000000 19.20032
4.08333333 19.20032
4.16666667 19.20032
4.25000000 19.20032
4.33333333 19.20032
4.41666667 19.13384
4.50000000 19.13384
4.58333333 19.13384
4.66666667 19.13384
4.75000000 19.13384
4.83333333 19.13384
4.91666667 19.13384
5.00000000 19.04980
5.08333333 19.13384
5.16666667 19.04980
5.25000000 19.04980
5.33333333 19.04980
5.41666667 19.09970
5.50000000 19.09970
5.58333333 19.09970
5.66666667 18.98319
5.75000000 18.98319
5.83333333 18.94279
5.91666667 18.94279
6.00000000 18.98319
6.08333333 18.82017
6.16666667 18.80018
6.25000000 18.82017
6.33333333 18.80018
6.41666667 18.80018
6.50000000 18.78576
6.58333333 18.80018
6.66666667 18.62898
6.75000000 18.61716
6.83333333 18.61716
6.91666667 18.61716
7.00000000 18.61716
7.08333333 18.61716
7.16666667 18.47207
7.25000000 18.47207
7.33333333 18.47207
7.41666667 18.36220
7.50000000 18.15578
7.58333333 18.15578
7.66666667 18.08793
7.75000000 18.08793
7.83333333 18.08793
7.91666667 18.08793
8.00000000 18.15742
8.08333333 18.15742
8.16666667 18.15742
8.25000000 18.22507
8.33333333 18.22507
8.41666667 18.22507
8.50000000 18.22507
8.58333333 18.22507
8.66666667 18.22507
8.75000000 18.22507
8.83333333 18.22507
8.91666667 18.22507
9.00000000 18.08793
9.08333333 18.08793
9.16666667 18.08793
9.25000000 18.08793
9.33333333 17.99970
9.41666667 17.99970
9.50000000 17.99970
9.58333333 17.99970
9.66666667 17.99970
9.75000000 17.99970
9.83333333 17.99970
9.91666667 17.99970
10.00000000 17.99970
10.08333333 17.99970
10.16666667 17.99970
10.25000000 17.99970
10.33333333 17.99970
10.41666667 17.99970
10.50000000 17.99970
10.58333333 17.99970
10.66666667 18.08793
10.75000000 18.03384
10.83333333 17.99970
10.91666667 17.99970
11.00000000 17.99970
11.08333333 17.99970
11.16666667 17.94980
11.25000000 17.94980
11.33333333 17.81220
11.41666667 17.84279
11.50000000 18.06620
11.58333333 17.99970
11.66666667 17.99970
11.75000000 17.99970
11.83333333 17.99970
11.91666667 17.99970
12.00000000 17.99970
12.08333333 17.99970
12.16666667 17.99970
12.25000000 17.99970
12.33333333 18.06620
12.41666667 18.06620
12.50000000 18.06620
12.58333333 18.06620
12.66666667 17.99970
12.75000000 17.84279
12.83333333 17.81220
12.91666667 17.78868
13.00000000 17.78868
13.08333333 17.81220
13.16666667 17.84279
13.25000000 17.84279
13.33333333 17.84279
13.41666667 17.84279
13.50000000 17.84279
13.58333333 17.88319
13.66666667 18.06620
13.75000000 18.06620
13.83333333 18.15924
13.91666667 18.15924
14.00000000 18.15924
14.08333333 18.15924
14.16666667 18.15924
14.25000000 18.15924
14.33333333 18.06620
14.41666667 18.15924
14.50000000 18.15924
14.58333333 18.30053
14.66666667 18.38109
14.75000000 18.38109
14.83333333 18.38109
14.91666667 18.57585
15.00000000 18.57585
15.08333333 18.57585
15.16666667 18.43415
15.25000000 18.57585
15.33333333 18.43415
15.41666667 18.60063
15.50000000 18.60063
15.58333333 18.60063
15.66666667 18.60063
15.75000000 18.60063
15.83333333 18.60063
15.91666667 18.77507
16.00000000 18.77507
16.08333333 18.76674
16.16666667 18.76674
16.25000000 18.86985
16.33333333 18.86985
16.41666667 18.86985
16.50000000 18.86985
16.58333333 18.86985
16.66666667 18.76674
16.75000000 18.76674
16.83333333 18.76674
16.91666667 18.76674
17.00000000 18.76674
17.08333333 18.86985
17.16666667 18.85429
17.25000000 18.86985
17.33333333 18.86985
17.41666667 18.86985
17.50000000 18.86985
17.58333333 18.86985
17.66666667 18.86985
17.75000000 18.86985
17.83333333 18.86985
17.91666667 18.88868
18.00000000 18.88868
18.08333333 18.97962
18.16666667 19.01062
18.25000000 18.91220
18.33333333 18.91220
18.41666667 18.94279
18.50000000 18.91220
18.58333333 18.91220
18.66666667 18.88868
18.75000000 18.91220
18.83333333 18.94279
18.91666667 18.94279
19.00000000 18.91220
19.08333333 18.94279
19.16666667 18.91220
19.25000000 18.88868
19.33333333 18.77507
19.41666667 18.77507
19.50000000 18.76674
19.58333333 18.76674
19.66666667 18.86985
19.75000000 18.86985
19.83333333 18.86985
19.91666667 18.95425
20.00000000 18.95425
20.08333333 18.95425
20.16666667 18.95425
20.25000000 18.86985
20.33333333 18.95425
20.41666667 18.95425
20.50000000 19.05477
20.58333333 19.05477
20.66666667 19.20032
20.75000000 19.25578
20.83333333 19.25578
20.91666667 19.25578
21.00000000 19.25578
21.08333333 19.25578
21.16666667 19.25578
21.25000000 19.25578
21.33333333 19.25578
21.41666667 19.20032
21.50000000 19.13384
21.58333333 19.13384
21.66666667 19.13384
21.75000000 19.13384
21.83333333 19.01062
21.91666667 19.09014
22.00000000 19.09014
22.08333333 19.09014
22.16666667 19.13384
22.25000000 19.13384
22.33333333 19.13384
22.41666667 19.13384
22.50000000 19.13384
22.58333333 19.09014
22.66666667 19.04980
22.75000000 19.04980
22.83333333 19.09970
22.91666667 19.16620
23.00000000 19.25742
23.08333333 19.35000
23.16666667 19.35000
23.25000000 19.35000
23.33333333 19.48109
23.41666667 19.48109
23.50000000 19.48109
23.58333333 19.48109
23.66666667 19.48109
23.75000000 19.35000
23.83333333 19.35000
23.91666667 19.35000
24.00000000 19.35000
24.08333333 19.35000
24.16666667 19.35000
24.25000000 19.25742
24.33333333 19.09970
24.41666667 19.09970
24.50000000 19.04980
24.58333333 19.04980
24.66666667 18.94279
24.75000000 18.91220
24.83333333 18.91220
24.91666667 18.77507
25.00000000 18.77507
25.08333333 18.61716
25.16666667 18.77507
25.25000000 18.47207
25.33333333 18.36220
25.41666667 18.36220
25.50000000 18.47207
25.58333333 18.50053
25.66666667 18.50053
25.75000000 18.62898
25.83333333 18.62898
25.91666667 18.62898
26.00000000 18.62898
26.08333333 18.77507
26.16666667 18.62898
26.25000000 18.77507
26.33333333 18.77507
26.41666667 18.77507
26.50000000 18.77507
26.58333333 18.77507
26.66666667 18.77507
26.75000000 18.77507
26.83333333 18.88868
26.91666667 18.77507
27.00000000 18.77507
27.08333333 18.77507
27.16666667 18.62898
27.25000000 18.47207
27.33333333 18.47207
27.41666667 18.47207
27.50000000 18.43415
27.58333333 18.43415
27.66666667 18.47207
27.75000000 18.43415
27.83333333 18.31409
27.91666667 18.31409
28.00000000 18.22507
28.08333333 18.15742
28.16666667 18.15742
28.25000000 18.15742
28.33333333 18.22507
28.41666667 18.15742
28.50000000 18.25000
28.58333333 18.25000
28.66666667 18.25000
28.75000000 18.31409
28.83333333 18.38109
28.91666667 18.38109
29.00000000 18.38109
29.08333333 18.43415
29.16666667 18.25000
29.25000000 18.25000
29.33333333 18.31409
29.41666667 18.43415
29.50000000 18.31409
29.58333333 18.31409
29.66666667 18.31409
29.75000000 18.31409
29.83333333 18.31409
29.91666667 18.31409
30.00000000 18.22507
30.08333333 18.22507
30.16666667 18.22507
30.25000000 18.15578
30.33333333 18.08793
30.41666667 18.08793
30.50000000 18.08793
30.58333333 18.03384
30.66666667 18.03384
30.75000000 18.03384
30.83333333 17.94980
30.91666667 17.91062
31.00000000 17.91062
31.08333333 17.87962
31.16666667 17.87962
31.25000000 17.78868
31.33333333 17.78868
31.41666667 17.78868
31.50000000 17.78868
31.58333333 17.78868
31.66666667 17.78868
31.75000000 17.91062
31.83333333 17.91062
31.91666667 17.91062
32.00000000 17.94980
32.08333333 17.94980
32.16666667 17.94980
32.25000000 17.94980
32.33333333 17.94980
32.41666667 17.91062
32.50000000 17.87962
32.58333333 17.85425
32.66666667 17.85425
32.75000000 17.85425
32.83333333 17.76985
32.91666667 17.87962
33.00000000 17.87962
33.08333333 17.78868
33.16666667 17.81220
33.25000000 17.84279
33.33333333 17.81220
33.41666667 17.81220
33.50000000 17.81220
33.58333333 17.78868
33.66666667 17.76985
33.75000000 17.66674
33.83333333 17.67507
33.91666667 17.67507
34.00000000 17.67507
34.08333333 17.67507
34.16666667 17.66674
34.25000000 17.67507
34.33333333 17.67507
34.41666667 17.68576
34.50000000 17.70018
34.58333333 17.68576
34.66666667 17.68576
