time(hour)	isotherm(m)
0.00000000 0.00201
0.08333333 0.00590
0.16666667 0.00963
0.25000000 0.01324
0.33333333 0.01680
0.41666667 0.02051
0.50000000 0.02414
0.58333333 0.02766
0.66666667 0.03138
0.75000000 0.03501
0.83333333 0.03831
0.91666667 0.04126
1.00000000 0.04382
1.08333333 0.04608
1.16666667 0.04803
1.25000000 0.04941
1.33333333 0.05006
1.41666667 0.05002
1.50000000 0.04953
1.58333333 0.04873
1.66666667 0.04763
1.75000000 0.04640
1.83333333 0.04538
1.91666667 0.04516
2.00000000 0.04587
2.08333333 0.04667
2.16666667 0.04758
2.25000000 0.04858
2.33333333 0.04849
2.41666667 0.04689
2.50000000 0.04365
2.58333333 0.03939
2.66666667 0.03437
2.75000000 0.02865
2.83333333 0.02273
2.91666667 0.01667
3.00000000 0.01052
3.08333333 0.00478
3.16666667 0.00073
3.25000000 -0.00203
3.33333333 -0.00534
3.41666667 -0.00981
3.50000000 -0.01481
3.58333333 -0.01965
3.66666667 -0.02473
3.75000000 -0.02997
3.83333333 -0.03447
3.91666667 -0.03863
4.00000000 -0.04300
4.08333333 -0.04740
4.16666667 -0.05186
4.25000000 -0.05606
4.33333333 -0.05998
4.41666667 -0.06363
4.50000000 -0.06656
4.58333333 -0.06871
4.66666667 -0.07010
4.75000000 -0.07072
4.83333333 -0.07071
4.91666667 -0.07021
5.00000000 -0.06910
5.08333333 -0.06710
5.16666667 -0.06451
5.25000000 -0.06162
5.33333333 -0.05835
5.41666667 -0.05468
5.50000000 -0.05069
5.58333333 -0.04629
5.66666667 -0.04149
5.75000000 -0.03638
5.83333333 -0.03095
5.91666667 -0.02525
6.00000000 -0.01933
6.08333333 -0.01314
6.16666667 -0.00671
6.25000000 -0.00022
6.33333333 0.00624
6.41666667 0.01262
6.50000000 0.01881
6.58333333 0.02470
6.66666667 0.03027
6.75000000 0.03536
6.83333333 0.03990
6.91666667 0.04402
7.00000000 0.04777
7.08333333 0.05101
7.16666667 0.05371
7.25000000 0.05616
7.33333333 0.05843
7.41666667 0.06034
7.50000000 0.06178
7.58333333 0.06301
7.66666667 0.06400
7.75000000 0.06442
7.83333333 0.06416
7.91666667 0.06293
8.00000000 0.06088
8.08333333 0.05823
8.16666667 0.05490
8.25000000 0.05111
8.33333333 0.04700
8.41666667 0.04252
8.50000000 0.03780
8.58333333 0.03285
8.66666667 0.02762
8.75000000 0.02226
8.83333333 0.01696
8.91666667 0.01169
9.00000000 0.00648
9.08333333 0.00127
9.16666667 -0.00411
9.25000000 -0.00950
9.33333333 -0.01492
9.41666667 -0.02039
9.50000000 -0.02579
9.58333333 -0.03098
9.66666667 -0.03596
9.75000000 -0.04068
9.83333333 -0.04495
9.91666667 -0.04867
10.00000000 -0.05196
10.08333333 -0.05502
10.16666667 -0.05763
10.25000000 -0.05932
10.33333333 -0.06025
10.41666667 -0.06083
10.50000000 -0.06108
10.58333333 -0.06098
10.66666667 -0.06032
10.75000000 -0.05920
10.83333333 -0.05771
10.91666667 -0.05569
11.00000000 -0.05314
11.08333333 -0.05021
11.16666667 -0.04700
11.25000000 -0.04348
11.33333333 -0.03942
11.41666667 -0.03467
11.50000000 -0.02971
11.58333333 -0.02485
11.66666667 -0.01991
11.75000000 -0.01484
11.83333333 -0.00966
11.91666667 -0.00448
12.00000000 0.00063
12.08333333 0.00569
12.16666667 0.01052
12.25000000 0.01513
12.33333333 0.01951
12.41666667 0.02355
12.50000000 0.02727
12.58333333 0.03069
12.66666667 0.03379
12.75000000 0.03661
12.83333333 0.03919
12.91666667 0.04149
13.00000000 0.04349
13.08333333 0.04518
13.16666667 0.04645
13.25000000 0.04741
13.33333333 0.04834
13.41666667 0.04931
13.50000000 0.05005
13.58333333 0.05025
13.66666667 0.04981
13.75000000 0.04884
13.83333333 0.04740
13.91666667 0.04549
14.00000000 0.04318
14.08333333 0.04055
14.16666667 0.03770
14.25000000 0.03461
14.33333333 0.03122
14.41666667 0.02753
14.50000000 0.02377
14.58333333 0.01997
14.66666667 0.01616
14.75000000 0.01225
14.83333333 0.00823
14.91666667 0.00420
15.00000000 0.00025
15.08333333 -0.00334
15.16666667 -0.00667
15.25000000 -0.01003
15.33333333 -0.01356
15.41666667 -0.01717
15.50000000 -0.02058
15.58333333 -0.02378
15.66666667 -0.02687
15.75000000 -0.02970
15.83333333 -0.03226
15.91666667 -0.03455
16.00000000 -0.03655
16.08333333 -0.03833
16.16666667 -0.03987
16.25000000 -0.04110
16.33333333 -0.04202
16.41666667 -0.04253
16.50000000 -0.04270
16.58333333 -0.04253
16.66666667 -0.04197
16.75000000 -0.04107
16.83333333 -0.03976
16.91666667 -0.03799
17.00000000 -0.03594
17.08333333 -0.03367
17.16666667 -0.03116
17.25000000 -0.02836
17.33333333 -0.02543
17.41666667 -0.02240
17.50000000 -0.01927
17.58333333 -0.01605
17.66666667 -0.01253
17.75000000 -0.00869
17.83333333 -0.00470
17.91666667 -0.00065
18.00000000 0.00334
18.08333333 0.00717
18.16666667 0.01094
18.25000000 0.01470
18.33333333 0.01822
18.41666667 0.02138
18.50000000 0.02433
18.58333333 0.02706
18.66666667 0.02958
18.75000000 0.03197
18.83333333 0.03409
18.91666667 0.03573
19.00000000 0.03678
19.08333333 0.03721
