time(hour)	isotherm(m)
0.00000000 0.00224
0.08333333 0.00690
0.16666667 0.01168
0.25000000 0.01632
0.33333333 0.02077
0.41666667 0.02512
0.50000000 0.02945
0.58333333 0.03373
0.66666667 0.03782
0.75000000 0.04155
0.83333333 0.04500
0.91666667 0.04836
1.00000000 0.05137
1.08333333 0.05369
1.16666667 0.05530
1.25000000 0.05615
1.33333333 0.05623
1.41666667 0.05568
1.50000000 0.05464
1.58333333 0.05313
1.66666667 0.05116
1.75000000 0.04891
1.83333333 0.04626
1.91666667 0.04295
2.00000000 0.03899
2.08333333 0.03458
2.16666667 0.02991
2.25000000 0.02501
2.33333333 0.01993
2.41666667 0.01502
2.50000000 0.01047
2.58333333 0.00600
2.66666667 0.00176
2.75000000 -0.00211
2.83333333 -0.00570
2.91666667 -0.00910
3.00000000 -0.01250
3.08333333 -0.01596
3.16666667 -0.01944
3.25000000 -0.02269
3.33333333 -0.02547
3.41666667 -0.02770
3.50000000 -0.02958
3.58333333 -0.03151
3.66666667 -0.03338
3.75000000 -0.03507
3.83333333 -0.03668
3.91666667 -0.03835
4.00000000 -0.04029
4.08333333 -0.04251
4.16666667 -0.04515
4.25000000 -0.04791
4.33333333 -0.05022
4.41666667 -0.05218
4.50000000 -0.05368
4.58333333 -0.05460
4.66666667 -0.05498
4.75000000 -0.05488
4.83333333 -0.05429
4.91666667 -0.05327
5.00000000 -0.05181
5.08333333 -0.04999
5.16666667 -0.04778
5.25000000 -0.04512
5.33333333 -0.04208
5.41666667 -0.03860
5.50000000 -0.03486
5.58333333 -0.03085
5.66666667 -0.02646
5.75000000 -0.02192
5.83333333 -0.01712
5.91666667 -0.01187
6.00000000 -0.00619
6.08333333 -0.00009
6.16666667 0.00658
6.25000000 0.01371
6.33333333 0.02089
6.41666667 0.02804
6.50000000 0.03477
6.58333333 0.04058
6.66666667 0.04552
6.75000000 0.04974
6.83333333 0.05310
6.91666667 0.05586
7.00000000 0.05838
7.08333333 0.06018
7.16666667 0.06081
7.25000000 0.06087
7.33333333 0.06145
7.41666667 0.06272
7.50000000 0.06410
7.58333333 0.06525
7.66666667 0.06597
7.75000000 0.06610
7.83333333 0.06562
7.91666667 0.06458
8.00000000 0.06309
8.08333333 0.06105
8.16666667 0.05836
8.25000000 0.05519
8.33333333 0.05157
8.41666667 0.04762
8.50000000 0.04330
8.58333333 0.03848
8.66666667 0.03310
8.75000000 0.02730
8.83333333 0.02134
8.91666667 0.01546
9.00000000 0.00971
9.08333333 0.00394
9.16666667 -0.00186
9.25000000 -0.00760
9.33333333 -0.01309
9.41666667 -0.01830
9.50000000 -0.02325
9.58333333 -0.02797
9.66666667 -0.03258
9.75000000 -0.03695
9.83333333 -0.04110
9.91666667 -0.04509
10.00000000 -0.04925
10.08333333 -0.05376
10.16666667 -0.05817
10.25000000 -0.06227
10.33333333 -0.06577
10.41666667 -0.06843
10.50000000 -0.07047
10.58333333 -0.07225
10.66666667 -0.07374
10.75000000 -0.07479
10.83333333 -0.07530
10.91666667 -0.07505
11.00000000 -0.07393
11.08333333 -0.07208
11.16666667 -0.06972
11.25000000 -0.06703
11.33333333 -0.06393
11.41666667 -0.06021
11.50000000 -0.05573
11.58333333 -0.05068
11.66666667 -0.04526
11.75000000 -0.03957
11.83333333 -0.03357
11.91666667 -0.02711
12.00000000 -0.02036
12.08333333 -0.01354
12.16666667 -0.00688
12.25000000 -0.00022
12.33333333 0.00657
12.41666667 0.01308
12.50000000 0.01919
12.58333333 0.02507
12.66666667 0.03078
12.75000000 0.03631
12.83333333 0.04187
12.91666667 0.04750
13.00000000 0.05314
13.08333333 0.05866
13.16666667 0.06360
13.25000000 0.06773
13.33333333 0.07093
13.41666667 0.07312
13.50000000 0.07466
13.58333333 0.07571
13.66666667 0.07625
13.75000000 0.07629
13.83333333 0.07530
13.91666667 0.07315
14.00000000 0.07021
14.08333333 0.06701
14.16666667 0.06326
14.25000000 0.05867
14.33333333 0.05346
14.41666667 0.04754
14.50000000 0.04126
14.58333333 0.03479
14.66666667 0.02805
14.75000000 0.02113
14.83333333 0.01384
14.91666667 0.00591
15.00000000 -0.00244
15.08333333 -0.01080
15.16666667 -0.01888
15.25000000 -0.02642
15.33333333 -0.03332
15.41666667 -0.03955
15.50000000 -0.04520
15.58333333 -0.05036
15.66666667 -0.05500
15.75000000 -0.05908
15.83333333 -0.06267
15.91666667 -0.06590
16.00000000 -0.06863
16.08333333 -0.07072
16.16666667 -0.07209
16.25000000 -0.07259
16.33333333 -0.07222
16.41666667 -0.07108
16.50000000 -0.06945
16.58333333 -0.06749
16.66666667 -0.06484
16.75000000 -0.06128
16.83333333 -0.05694
16.91666667 -0.05198
17.00000000 -0.04688
17.08333333 -0.04182
17.16666667 -0.03654
17.25000000 -0.03083
17.33333333 -0.02474
17.41666667 -0.01847
17.50000000 -0.01233
17.58333333 -0.00637
17.66666667 -0.00009
17.75000000 0.00676
17.83333333 0.01415
17.91666667 0.02174
18.00000000 0.02883
18.08333333 0.03503
18.16666667 0.04037
18.25000000 0.04529
18.33333333 0.05008
18.41666667 0.05473
