time(hour)	isotherm(m)
0.00000000 0.00052
0.08333333 0.00133
0.16666667 0.00213
0.25000000 0.00312
0.33333333 0.00407
0.41666667 0.00523
0.50000000 0.00704
0.58333333 0.00926
0.66666667 0.01161
0.75000000 0.01422
0.83333333 0.01708
0.91666667 0.02029
1.00000000 0.02352
1.08333333 0.02651
1.16666667 0.02926
1.25000000 0.03172
1.33333333 0.03401
1.41666667 0.03615
1.50000000 0.03806
1.58333333 0.03972
1.66666667 0.04111
1.75000000 0.04229
1.83333333 0.04309
1.91666667 0.04337
2.00000000 0.04325
2.08333333 0.04269
2.16666667 0.04176
2.25000000 0.04037
2.33333333 0.03844
2.41666667 0.03621
2.50000000 0.03385
2.58333333 0.03138
2.66666667 0.02890
2.75000000 0.02641
2.83333333 0.02397
2.91666667 0.02162
3.00000000 0.01901
3.08333333 0.01601
3.16666667 0.01264
3.25000000 0.00910
3.33333333 0.00554
3.41666667 0.00212
3.50000000 -0.00122
3.58333333 -0.00499
3.66666667 -0.00909
3.75000000 -0.01326
3.83333333 -0.01768
3.91666667 -0.02220
4.00000000 -0.02668
4.08333333 -0.03104
4.16666667 -0.03542
4.25000000 -0.03969
4.33333333 -0.04356
4.41666667 -0.04705
4.50000000 -0.05020
4.58333333 -0.05287
4.66666667 -0.05491
4.75000000 -0.05645
4.83333333 -0.05748
4.91666667 -0.05811
5.00000000 -0.05835
5.08333333 -0.05835
5.16666667 -0.05841
5.25000000 -0.05826
5.33333333 -0.05759
5.41666667 -0.05660
5.50000000 -0.05530
5.58333333 -0.05353
5.66666667 -0.05129
5.75000000 -0.04882
5.83333333 -0.04614
5.91666667 -0.04309
6.00000000 -0.03948
6.08333333 -0.03534
6.16666667 -0.03093
6.25000000 -0.02627
6.33333333 -0.02117
6.41666667 -0.01519
6.50000000 -0.00871
6.58333333 -0.00202
6.66666667 0.00528
6.75000000 0.01292
6.83333333 0.02046
6.91666667 0.02792
7.00000000 0.03536
7.08333333 0.04259
7.16666667 0.04930
7.25000000 0.05543
7.33333333 0.06134
7.41666667 0.06723
7.50000000 0.07290
7.58333333 0.07821
7.66666667 0.08297
7.75000000 0.08696
7.83333333 0.09013
7.91666667 0.09249
8.00000000 0.09411
8.08333333 0.09488
8.16666667 0.09480
8.25000000 0.09407
8.33333333 0.09251
8.41666667 0.09016
8.50000000 0.08705
8.58333333 0.08308
8.66666667 0.07823
8.75000000 0.07247
8.83333333 0.06604
8.91666667 0.05916
9.00000000 0.05191
9.08333333 0.04436
9.16666667 0.03650
9.25000000 0.02828
9.33333333 0.02010
9.41666667 0.01202
9.50000000 0.00392
9.58333333 -0.00435
9.66666667 -0.01273
9.75000000 -0.02091
9.83333333 -0.02901
9.91666667 -0.03695
10.00000000 -0.04481
10.08333333 -0.05266
10.16666667 -0.06014
10.25000000 -0.06703
10.33333333 -0.07326
10.41666667 -0.07886
10.50000000 -0.08381
10.58333333 -0.08812
10.66666667 -0.09174
10.75000000 -0.09460
10.83333333 -0.09673
10.91666667 -0.09804
11.00000000 -0.09849
11.08333333 -0.09813
11.16666667 -0.09695
11.25000000 -0.09509
11.33333333 -0.09267
11.41666667 -0.08953
11.50000000 -0.08544
11.58333333 -0.08060
11.66666667 -0.07532
11.75000000 -0.06982
11.83333333 -0.06445
11.91666667 -0.05919
12.00000000 -0.05384
12.08333333 -0.04848
12.16666667 -0.04296
12.25000000 -0.03713
12.33333333 -0.03103
12.41666667 -0.02449
12.50000000 -0.01703
12.58333333 -0.00867
12.66666667 0.00025
12.75000000 0.00911
12.83333333 0.01748
12.91666667 0.02572
13.00000000 0.03393
13.08333333 0.04151
13.16666667 0.04810
13.25000000 0.05414
13.33333333 0.06012
13.41666667 0.06594
13.50000000 0.07153
13.58333333 0.07675
13.66666667 0.08102
13.75000000 0.08444
13.83333333 0.08715
13.91666667 0.08879
14.00000000 0.08947
14.08333333 0.08956
14.16666667 0.08899
14.25000000 0.08756
14.33333333 0.08534
14.41666667 0.08231
14.50000000 0.07858
14.58333333 0.07409
14.66666667 0.06886
14.75000000 0.06308
14.83333333 0.05685
14.91666667 0.05015
15.00000000 0.04296
15.08333333 0.03543
15.16666667 0.02768
15.25000000 0.01973
15.33333333 0.01176
15.41666667 0.00407
15.50000000 -0.00331
15.58333333 -0.01038
15.66666667 -0.01719
15.75000000 -0.02358
15.83333333 -0.02956
15.91666667 -0.03529
16.00000000 -0.04071
16.08333333 -0.04571
16.16666667 -0.05031
16.25000000 -0.05444
16.33333333 -0.05797
16.41666667 -0.06091
16.50000000 -0.06332
16.58333333 -0.06534
16.66666667 -0.06682
16.75000000 -0.06768
16.83333333 -0.06796
16.91666667 -0.06747
17.00000000 -0.06638
17.08333333 -0.06484
17.16666667 -0.06268
17.25000000 -0.05975
17.33333333 -0.05609
17.41666667 -0.05179
17.50000000 -0.04716
17.58333333 -0.04234
17.66666667 -0.03724
17.75000000 -0.03181
17.83333333 -0.02587
17.91666667 -0.01970
18.00000000 -0.01376
18.08333333 -0.00821
18.16666667 -0.00302
18.25000000 0.00202
18.33333333 0.00694
18.41666667 0.01184
18.50000000 0.01672
18.58333333 0.02116
18.66666667 0.02497
18.75000000 0.02816
18.83333333 0.03070
18.91666667 0.03291
19.00000000 0.03509
19.08333333 0.03717
19.16666667 0.03916
19.25000000 0.04098
19.33333333 0.04239
19.41666667 0.04336
19.50000000 0.04415
